Gene,P,Number of variants
PIK3R6,0.062797888,9
PADI6,0.062833303,11
ZNF445,0.062921959,7
TCTN1,0.063012765,4
LUZP1,0.06302638,8
EXOSC7,0.063031714,3
RNASE11,0.063256156,7
MTTP,0.063335885,5
GALNT13,0.063526389,2
TBC1D9,0.063593997,6
RLTPR,0.0636055,5
C10orf105,0.063623807,8
TXNDC16,0.063634961,10
TMEM163,0.063681199,2
ANKRD27,0.063792491,13
F11,0.063800726,5
GNL3,0.063870327,7
PIGR,0.063905151,9
BTBD7,0.06393651,7
TIAM1,0.064018987,19
RNF26,0.064151457,2
REL,0.064241797,3
CRYBA4,0.064347937,3
IL17RC,0.064374165,9
CYP27B1,0.064392104,3
MRPL49,0.064455272,2
SNRPF,0.064676328,8
CXCR1,0.06476495,5
SPP1,0.06479051,10
ANKRD5,0.064946463,8
SNAP25-AS1,0.064946463,8
ITGB2,0.064960609,8
KDM2A,0.065016954,3
TLR2,0.065051478,8
APOBEC3F,0.065072213,2
CHRM3,0.065095572,6
CX3CR1,0.065284585,3
CCDC38,0.065322027,9
AP1G1,0.065650693,2
RALGDS,0.0656815,18
HDGF,0.065686592,3
FPGT,0.06571511,2
CYP2B6,0.065816903,7
RLN1,0.065956764,2
KCTD14,0.066006298,3
NCK1,0.066137756,6
C7orf62,0.066153203,2
GCM2,0.06623672,4
ASPG,0.066279549,2
HTR3A,0.066309857,6
PLBD1,0.066589993,4
ZFPM1,0.066611776,2
ACAP2,0.066658905,3
POLI,0.066674724,6
OR2C3,0.066710059,6
SPATA5L1,0.066911616,7
RAD54L,0.066912033,7
HTR2B,0.066957644,7
TMEFF2,0.066994621,2
ABCA3,0.067007511,22
OR5L2,0.067062694,2
CHRNA5,0.067166283,5
MYH4,0.067226973,17
MERTK,0.067263675,5
N6AMT1,0.067306042,2
USH2A,0.067342007,64
INSL6,0.06737053,6
RAP1GDS1,0.067843794,4
SYT8,0.067932228,5
TEX101,0.068268999,2
ALPK2,0.06830056,20
SUV420H1,0.068376054,6
EPB41L5,0.068391329,7
CARD17,0.068588482,7
VN1R5,0.068640471,2
ITGB6,0.068809415,5
MS4A8B,0.068814989,3
WDR20,0.068905055,3
C16orf46,0.068950932,6
SSTR2,0.068975238,2
F5,0.06898692,13
FRAS1,0.069291556,51
SYT16,0.06935997,7
CFI,0.069439272,8
PRRT3-AS1,0.069484623,4
ZNF283,0.069525214,8
NEK9,0.069654587,9
BCAS3,0.069679918,6
GRK4,0.069713046,2
PDK1,0.069721728,5
FAM20A,0.069727765,9
XRCC3,0.069741168,10
PLSCR2,0.069769301,5
CLK2,0.069779203,3
GTSE1,0.069784876,15
GRPEL1,0.069788708,3
LGALS3BP,0.069903515,7
ZSCAN5B,0.069911198,11
ADNP2,0.069984409,10
GYPC,0.070200599,3
C16orf70,0.070540505,4
ACER1,0.070619646,2
PLA2G16,0.070698259,2
TSKS,0.070708275,14
FAM207A,0.070755438,2
EPC1,0.070766325,4
U2AF1L4,0.070781382,3
DSCR6,0.070884579,4
HIF3A,0.07092981,9
MS4A1,0.070969211,2
PRRT3,0.071107419,5
MSH3,0.071148217,10
PBRM1,0.071216749,10
LRRC8A,0.071338423,2
EXOSC1,0.071413927,4
OR4A16,0.071482825,5
IQCA1,0.071594864,11
SIDT2,0.071897658,11
MATN1-AS1,0.072012948,2
SS18L1,0.072133597,4
SKA1,0.07213642,2
ARHGAP28,0.072158081,7
ZNF22,0.072201642,3
ARHGAP10,0.072234545,12
TBCCD1,0.072302287,3
B3GNT3,0.072325085,2
BASP1,0.07234854,2
SERPINE2,0.072387845,3
PTPRK,0.072445418,9
SLC36A3,0.07246705,4
CLDND1,0.072488544,5
UGT1A7,0.072630478,23
CASC1,0.072630523,4
CECR5,0.072668893,4
CNN3,0.072700312,2
POGLUT1,0.072703749,5
PYCR1,0.072783674,10
BLNK,0.072900257,7
SLC6A19,0.072952309,12
SERPINE1,0.073172768,4
RSPO4,0.073208463,6
ENPP4,0.073307995,8
SLC35A4,0.073635648,4
POM121L12,0.073684694,5
AIFM3,0.073714656,12
ITSN1,0.073719998,4
NLRP14,0.073768118,12
TANK,0.073886966,6
CASKIN1,0.074008447,5
ATP6AP1L,0.074055624,2
TMEM67,0.074212241,3
GLB1L3,0.074272141,10
CD207,0.074338052,5
SLC12A3,0.074443951,20
HMGCL,0.074460312,2
SLAMF9,0.074513109,3
ORC6,0.07456807,2
KIAA0141,0.074661469,6
CACNA1D,0.074719392,16
BARHL2,0.074932936,4
SPATA7,0.075074875,6
LHFPL2,0.075076464,2
PRDM2,0.075096504,17
KCNS2,0.075218591,2
PRR5L,0.075222884,4
ZNF320,0.075249889,2
KLF5,0.075269174,4
BAIAP2L1,0.075405337,7
ATXN3,0.075451229,3
CIDEA,0.075634727,2
SERTAD4,0.075732668,5
FAM84A,0.075750782,2
PFKFB2,0.075872772,6
SENP8,0.075894612,2
CTNS,0.07594794,10
SETBP1,0.076184787,3
SCAMP5,0.076206515,2
OR7A17,0.076259698,3
SKI,0.076305574,3
ENG,0.07635934,7
DDX42,0.076373885,5
AZIN1,0.076496425,4
RGP1,0.076499782,8
TGIF1,0.076528505,3
KCNJ11,0.0766107,2
TPD52,0.076617426,4
RANBP3,0.076745261,5
OR5M3,0.076862616,3
OR1J2,0.076953832,4
MKNK2,0.077013857,2
TMEM2,0.077082178,8
E4F1,0.077236864,7
LIPT1,0.077418693,3
