Gene,P,Number of variants
OR6S1,0.726868427,6
MIP,0.726883604,2
JAK1,0.726945869,4
C1RL-AS1,0.727013077,3
KIF22,0.727037383,4
CLEC14A,0.727080007,6
MIPEP,0.727182823,14
MRO,0.72723836,3
SNX32,0.727335498,4
NSUN7,0.727414705,8
DCXR,0.727471415,2
CCDC108,0.727540354,30
IQGAP1,0.727567708,11
IRF8,0.727600078,5
ADAM28,0.727623343,17
TAF15,0.7277134,14
CD69,0.727767711,3
C2orf65,0.727924621,8
KAZN,0.727972353,5
TP53INP1,0.728306717,2
BCAS1,0.728391812,7
AMZ1,0.728416413,15
INADL,0.728418551,12
CACNA1B,0.728470594,10
TMF1,0.728569231,5
AVEN,0.728579916,6
HARS2,0.728630415,5
OR5AC2,0.728688362,5
LGALS12,0.728806998,4
ZNF385A,0.728831296,2
HUS1B,0.728900067,2
TMC1,0.729100574,8
OR1S1,0.729121713,4
GSDMB,0.729158943,6
ZNF513,0.72932423,6
RPS6KB2,0.729355859,6
FAM213B,0.729357985,2
POLR1A,0.729399831,12
OXR1,0.729450276,7
DHX33,0.729551911,6
XPO4,0.729723748,2
PAM,0.729850943,7
GPR158,0.72994289,15
WDR93,0.729953585,4
OR7G1,0.730020934,6
CDKAL1,0.730080873,4
SART3,0.730244899,9
TDP2,0.730253098,2
MYOT,0.730400359,5
CALR,0.730476186,7
KBTBD12,0.730484997,6
VWA2,0.7306089,14
FMN2,0.730662479,6
ANO10,0.730701021,4
MMS22L,0.73076188,13
PILRA,0.730867623,2
EFCAB7,0.730885473,4
ITGB3BP,0.730885473,4
SOCS4,0.730931273,5
FRY,0.730971336,17
VNN2,0.731051407,6
IGF2BP1,0.731185639,2
OTUD3,0.731401529,4
VIMP,0.731553518,2
NEK1,0.731559705,7
EFCAB11,0.7317086,2
SH3BP4,0.731800509,13
PARP16,0.731823833,3
GUSBP5,0.731851265,3
DNAJB1,0.731871896,3
IFNA7,0.731974781,2
GRIK3,0.731996998,5
FRS3,0.732031188,14
TOMM34,0.732098588,2
GNAO1,0.732247709,4
DNAAF2,0.73241243,5
TMEM155,0.732614668,2
KIF4B,0.73261922,5
PLXNB2,0.732694816,19
C7orf69,0.732869926,11
LONRF2,0.732884911,2
LBX2-AS1,0.732909826,2
PRSS1,0.732915752,4
ODZ3,0.73296846,25
HNF1A,0.73311868,7
ARFGAP1,0.733151037,5
AMOTL1,0.733152259,7
LIPK,0.733215531,6
TEC,0.733237096,4
SIPA1L1,0.733320824,12
PROX1,0.73332469,3
GPCPD1,0.733404426,3
LAMA5,0.733436027,69
DDX49,0.733557667,6
VPS39,0.733591192,3
KIF13B,0.733624739,11
AKAP5,0.733976797,4
ASAP2,0.734015822,3
CD1E,0.734056916,6
ALDH3B1,0.734071867,6
NUDT7,0.734103997,5
TMED6,0.734139685,2
FAM175B,0.734314255,4
KCTD19,0.734467835,4
WDR67,0.734490319,10
NME6,0.734522544,4
WFDC9,0.734573002,2
OR1Q1,0.734638993,3
CCDC70,0.73467815,10
CCDC66,0.734911042,8
GRK6,0.734992297,12
TMEM174,0.735064496,4
HAPLN3,0.735172639,7
ANKRD6,0.735212984,8
LYRM2,0.735212984,8
MTMR14,0.735287809,5
DKKL1,0.735296359,3
CTNNAL1,0.735422733,10
HELLS,0.73542541,4
RPP30,0.735586688,3
CCNE1,0.735599613,6
DEF8,0.735622943,4
ILDR2,0.735993484,2
TDRD1,0.735996785,5
SULT1C4,0.736202434,3
NUDT1,0.736228691,4
DOK3,0.736273309,4
RCL1,0.736342444,5
APLF,0.736419227,5
TM2D3,0.736525304,4
SCARA3,0.73653533,8
ZC3H12A,0.736541678,5
CASP1,0.736609668,15
BEST3,0.736613744,4
SLC22A1,0.736638257,8
RLBP1,0.736806345,3
TFEB,0.736935554,3
PEX11A,0.737074879,5
VAPB,0.737080048,3
TLR5,0.737236257,3
MTBP,0.737244,7
SPTA1,0.73724978,43
FAM154A,0.737269209,11
WDR34,0.737282415,2
KLK3,0.737301907,4
CD55,0.737312254,4
OR8G7P,0.737621301,5
SOWAHC,0.737657007,2
TMEM120A,0.737683431,2
TEKT5,0.737711972,11
WHSC1,0.737766885,9
PIEZO2,0.737771907,9
PCSK4,0.737793435,12
DLGAP5,0.737877752,6
TMEM245,0.738082345,4
TASP1,0.738087185,6
RYR1,0.738260561,46
PMF1,0.738403587,5
CLCNKB,0.738591586,5
TAF4B,0.738612259,9
GTF3C4,0.738627952,2
KIRREL,0.738765009,5
ZSWIM4,0.738781984,5
MON1A,0.73889034,2
TEAD4,0.738923179,5
OR51G2,0.739063837,11
SLTM,0.739133895,4
AAK1,0.739142909,7
CORT,0.739142948,2
C17orf65,0.739182995,4
RARS,0.739413412,4
OR7C2,0.739513997,2
SCNN1G,0.739576015,4
PPAP2B,0.739670961,4
FKBP10,0.739801848,4
PSTPIP1,0.739883367,6
GTPBP4,0.739988558,8
SLC23A3,0.740005609,5
ALKBH1,0.740067982,7
GALK1,0.740230126,11
C1orf226,0.740331185,4
WFS1,0.740337816,38
INTS12,0.740616649,4
MYLK-AS1,0.740870734,2
SOAT2,0.740931278,8
MAST1,0.740971486,2
GDPD1,0.741058831,2
CTRL,0.741157721,3
RAB36,0.741305732,7
MAP3K11,0.741322492,5
TSPAN8,0.741457287,5
SETD2,0.741571822,13
PAMR1,0.741618393,12
FOXO1,0.741620894,2
IMMT,0.74166042,5
CPZ,0.741970652,18
GIMAP2,0.742028026,3
MMP10,0.742196487,3
METTL7B,0.742340562,5
TAS1R2,0.742341024,13
LMOD3,0.742415206,6
OPTN,0.742649945,3
KARS,0.742819503,5
GPSM2,0.743048982,9
HDAC9,0.743134627,5
NUDCD3,0.743345178,4
NUF2,0.743440825,5
MTNR1A,0.743480872,4
ELL2,0.7434863,2
IPP,0.743526609,2
SFMBT1,0.743733857,7
SYT10,0.743822721,4
PCDH20,0.743850635,6
HS1BP3,0.743903368,7
FAM173B,0.744008274,3
SERPINA12,0.74411728,9
ACY3,0.744277052,5
DEFB128,0.74434309,4
ZNF662,0.744460549,3
SULF2,0.744623894,10
TUBA3C,0.744631418,2
SPPL3,0.744680536,2
SLC27A1,0.7447577,4
NPRL3,0.744930942,6
LRRC52,0.745045611,2
SLC30A6,0.745178433,3
DEFB135,0.745369352,3
CCDC60,0.745388086,12
PSG11,0.745435951,2
PDGFRL,0.745468154,9
EPGN,0.745903534,2
CMKLR1,0.745921895,2
TTC5,0.745925948,5
KIAA1009,0.745942413,11
SPOCK2,0.746022666,8
GNLY,0.746113513,4
HAX1,0.746168919,3
UPK3A,0.746221315,8
STX16-NPEPL1,0.746274683,5
SYPL2,0.746305055,4
OLFML2A,0.746313476,9
C3orf58,0.746378756,2
ZNF394,0.7464081,9
ZNF789,0.7464081,9
ZNF556,0.746467225,13
ANAPC11,0.746521432,3
CD33,0.746621215,8
CD300LG,0.746822981,2
VPS13C,0.746944269,23
VPS45,0.747110862,5
OPN5,0.747162154,2
NEIL3,0.747201745,8
CXCR2,0.747232345,6
TNNI3,0.74734317,3
TBC1D19,0.747352058,5
WISP1,0.747592148,7
FCRL1,0.747663506,10
TMEM182,0.747731696,2
RNF220,0.747736948,4
IQUB,0.747805678,8
SH3BP5L,0.747816839,2
SERPINA9,0.747821572,8
COL6A3,0.74794402,48
FAM216B,0.747947559,2
ZNF665,0.747953554,3
GGA3,0.748023089,5
LGALS2,0.748122567,5
INPP5A,0.748156249,4
ESRRB,0.748389783,7
VAC14,0.748444091,3
C17orf104,0.748536856,2
FIBP,0.748537263,3
CAMTA2,0.748668555,3
TTC24,0.748790906,6
P2RY11,0.74887834,7
SLC37A4,0.748926303,6
PEX1,0.749082237,12
USP53,0.749103444,10
GCOM1,0.749146321,5
POLR2M,0.749146321,5
CCDC124,0.749196582,4
GKN2,0.749392185,3
PHKB,0.749393136,10
DPT,0.7494797,6
ZNF880,0.749550452,5
SLC10A6,0.749660736,2
ATXN7L2,0.749843577,4
DKK4,0.749986499,2
RBM15,0.750015001,2
PNN,0.750235373,5
JAKMIP1,0.75042919,5
AK1,0.750466791,3
DDI1,0.750503009,6
ADAT3,0.750537695,3
ABHD11,0.750789486,2
OR4D9,0.750971034,9
FMO4,0.750978144,9
MEFV,0.75100948,12
C14orf177,0.751160637,2
TRDN,0.751168768,7
BRIX1,0.751226152,2
TTC22,0.75125871,5
PSTK,0.751281386,4
AURKB,0.751592743,4
RIPK1,0.751614101,4
SLC39A1,0.751741388,3
GDI2,0.751755624,2
CRCP,0.751843192,3
SLC38A4,0.751932126,2
DIDO1,0.751939114,19
HMGCS2,0.752001088,7
AACS,0.752016227,5
MED1,0.752121278,11
PLA2G2D,0.752189704,2
KIAA1524,0.752215672,11
ZNF441,0.75232094,4
NOP2,0.752339878,10
RBM34,0.752391354,7
C15orf38,0.752500597,6
EPM2A,0.752562388,4
CTNNBIP1,0.752580641,2
SPESP1,0.753044234,3
MSANTD4,0.753167122,2
CKMT2,0.753240498,2
COL17A1,0.753403781,22
BST1,0.753613139,8
TIAM2,0.75366483,28
DPP7,0.753879544,8
MRPL15,0.753910731,4
ANKH,0.753920529,2
REEP6,0.754062802,3
CCDC73,0.754137525,4
PCDHB14,0.754153798,4
C2orf80,0.754308354,4
FUBP3,0.754346694,2
C17orf77,0.754364886,5
GPR18,0.754420482,3
DGCR14,0.754694782,10
TAC3,0.754818242,3
PNMT,0.754877471,3
ZNF133,0.754937003,4
TNS4,0.754995419,7
KIAA0317,0.75499907,6
DUSP6,0.755028867,3
TES,0.755043501,4
MYEOV2,0.755192268,2
SIGLEC1,0.755213126,27
BHMT2,0.755215557,4
OR5H2,0.755461203,5
ATXN8OS,0.755475622,2
FUT11,0.755632464,4
FCGBP,0.755659875,33
ATAD3A,0.755695544,4
PCYOX1,0.755733822,3
FEN1,0.755741547,3
DNMT3L,0.755953428,6
PAX8,0.756039843,8
ST6GALNAC1,0.756045587,9
EIF4B,0.756061224,3
SLC46A2,0.756108556,3
HTR3E,0.756119456,3
VTN,0.756581155,7
CHST9-AS1,0.756710546,8
TRPV6,0.75673932,5
EZH2,0.757167872,3
OR51T1,0.757275476,3
SLC7A2,0.757572389,7
HMMR,0.757603257,7
OTOF,0.757628246,34
LTK,0.757679569,12
ZNF214,0.757686178,5
ABHD14A-ACY1,0.757728037,11
ACY1,0.757728037,11
ZNF800,0.757768011,4
FBLN1,0.757768458,11
COQ5,0.757769267,3
C22orf31,0.75779468,3
GSG1,0.757818717,7
GIMAP7,0.758039214,3
SPACA7,0.758052917,6
ASB4,0.758367744,3
MYEOV,0.758405611,10
METTL12,0.758505668,3
SMPD3,0.758554185,6
NFKBIZ,0.758561023,7
PLXNA4,0.758649507,22
ZFYVE16,0.75870334,9
MRPL53,0.758762359,2
KLK9,0.758889105,4
KLHL21,0.758999091,4
CALHM1,0.759013953,7
FLAD1,0.759027743,11
DDX54,0.759247517,9
ZNF584,0.759264772,2
PDZD7,0.759297674,2
NCAM2,0.759505468,8
TMEM203,0.759516594,2
DUSP11,0.759628456,2
TMPRSS7,0.759662678,11
RAD51AP1,0.759729762,4
PARP3,0.759848433,9
SEC14L5,0.759905697,8
LNX2,0.759981843,6
COL12A1,0.760145763,27
HKDC1,0.760254351,9
KIF5B,0.760283363,6
PNLIPRP1,0.760325789,9
CDHR3,0.760424816,12
C19orf57,0.760435943,13
IL17A,0.760733253,4
CCNJL,0.760753019,2
PARL,0.760800143,3
ZNF331,0.760829155,3
BRD9,0.760857791,4
ZNF516,0.760882974,5
SPHK1,0.760940226,5
TTC23L,0.760941187,6
ARHGEF12,0.76099973,12
EIF4E1B,0.761091812,4
SYT2,0.761238233,2
EXO1,0.761350632,8
ARMC3,0.761483632,5
COLEC10,0.761588443,5
MAN2A1,0.761624026,8
SAMD14,0.761754865,3
LRRC58,0.76181188,4
SSH1,0.761812744,6
RLN2,0.761825318,2
CYP26C1,0.761900266,4
PECR,0.761970697,4
FBXL18,0.761979002,3
TBC1D1,0.7620801,10
ANKRD30A,0.762143985,9
TMEM151B,0.762354439,25
C3orf43,0.762452784,8
RBM28,0.762464505,8
TONSL,0.762489912,17
ABCC4,0.762607956,11
CASP14,0.762646918,3
RAB4A,0.762693551,2
MKKS,0.762803051,4
NCF4,0.762962447,7
ENPP2,0.763018397,7
C3orf55,0.763110264,3
SOGA1,0.763162045,8
C2orf62,0.7631722,4
NKD1,0.763267936,2
WDR43,0.763353049,2
DEFA4,0.763461711,4
TOX,0.763536026,8
C1RL,0.763735246,10
TWISTNB,0.763735937,2
EFHD1,0.764041724,4
HECTD4,0.764060654,11
CHRNA2,0.764185138,3
TGFBR3,0.76427897,4
PDXDC1,0.764342158,3
STXBP1,0.764397815,3
GRXCR2,0.76440115,4
SLC18A2,0.764412556,4
PGBD2,0.764744451,6
SYT15,0.7648205,6
ALX4,0.764884642,2
RFX2,0.764885528,16
SYNGR4,0.765019084,4
IMPA2,0.765027953,3
PRTG,0.765162818,10
RIPPLY2,0.765206863,2
HECW2,0.76550812,4
C1orf189,0.765518726,3
TNFRSF11B,0.765615135,3
ACVRL1,0.765660318,4
TOX3,0.765701451,2
BTRC,0.765733581,6
ZNF597,0.765760219,5
ZFP62,0.765820615,6
GRIK4,0.765849867,10
NASP,0.766164006,5
PRSS21,0.766487245,4
RALBP1,0.766510955,2
GAL3ST1,0.766569519,4
OR6Q1,0.76663349,4
SLC24A4,0.766656201,13
NPBWR2,0.766657305,7
TOE1,0.766914444,6
UAP1L1,0.766960481,5
SREK1,0.767112005,2
SQRDL,0.767121188,5
SLC26A10,0.767187375,8
MAGI2,0.767313136,5
CDYL,0.76734749,5
ILDR1,0.767396303,16
HRH3,0.767468542,3
TEX264,0.767518116,3
FAM129B,0.767590326,12
CSDA,0.76765786,5
CR1,0.767719113,11
NFS1,0.767915978,11
KIF9,0.767954538,11
ADAL,0.767983462,5
PIP,0.768010571,4
PCTP,0.768071456,3
DNAJC6,0.768077373,4
SHKBP1,0.768127854,5
TOR2A,0.768196094,3
AFF1,0.7682051,6
BRF1,0.76821716,4
TTYH2,0.768265582,12
GLT25D1,0.768294251,6
MCMBP,0.768316524,3
GDPD4,0.768325377,4
ACMSD,0.768395972,4
TNFAIP8L1,0.768462883,3
VPS16,0.768651156,11
FBXO24,0.76902233,6
MMAB,0.769078498,2
PDZRN3,0.769248415,5
MMP3,0.769281044,3
SLC25A45,0.769379359,6
TNS1,0.769423348,24
BDNF,0.769571326,2
BDNF-AS,0.769571326,2
TSNARE1,0.769622758,8
SSC5D,0.769674241,3
LARGE,0.769782827,7
SLC22A25,0.769931808,7
DGKD,0.769982937,3
KIAA0753,0.770013006,10
TIFA,0.770126533,3
NPR2,0.770157802,8
FBXO44,0.77019979,4
GRWD1,0.770206829,6
EPHA3,0.770507057,6
KRT38,0.770552216,6
BHMT,0.770710908,2
ASZ1,0.770777183,2
ZNF277,0.770805063,4
LRP8,0.770854084,11
CRELD1,0.770944478,5
PRCP,0.771193193,8
EXOSC4,0.771274626,3
C3orf52,0.771281696,8
IFT46,0.771329283,5
HRNR,0.771522007,38
EXOG,0.771634155,2
FUT2,0.771649041,5
SLC16A8,0.771695164,4
KRBA1,0.771816029,13
SDF2L1,0.771856197,2
ABCD3,0.771885928,2
PATL2,0.771927498,5
ST5,0.771988444,8
ARHGEF1,0.772129013,6
VWA5A,0.772195614,12
WIPI2,0.772199916,2
C1orf27,0.772239337,3
NPAT,0.772284785,14
MASP2,0.772296226,7
KIF24,0.772347334,14
NT5DC1,0.77250457,13
DPP8,0.772883545,7
DBT,0.773095511,5
TM7SF3,0.773607997,5
SGOL2,0.773937278,13
NOL11,0.773958292,4
TP53I13,0.774035784,2
PEX10,0.7740425,3
SLC6A11,0.774042598,3
CHD7,0.77406623,8
UPP2,0.774175874,4
HMBS,0.774361141,5
TEKT2,0.774559971,11
ALPL,0.774637186,7
COL16A1,0.774644359,20
TRAPPC8,0.774684909,11
TBATA,0.774768021,10
MMP13,0.774939668,6
PCDHGC5,0.775278139,10
PEX12,0.776026974,3
PRSS23,0.776085144,6
NUP160,0.77623353,11
DOLK,0.776274811,6
MARS2,0.776293233,4
FUT1,0.776321142,5
BCCIP,0.776407132,12
CCDC64B,0.776465718,2
EPB42,0.776581442,23
CDKN1B,0.776595155,2
OR51L1,0.776648023,6
SLC39A12,0.776697428,7
C11orf65,0.776707209,14
KCNH8,0.776728337,8
ZRANB3,0.776853739,10
ANGPTL5,0.776917521,6
MGAT5,0.777114709,5
TNFRSF6B,0.777209091,2
ZC3H7A,0.777370285,6
STARD10,0.777481359,3
STARD10-AS1,0.777481359,3
HHAT,0.777738796,8
MYOM2,0.777876246,48
FARP1,0.778023644,15
AKIRIN2,0.778051254,2
DDI2,0.778084331,7
SLC26A9,0.778384094,10
MUSTN1,0.778428046,14
CTNNBL1,0.778548075,5
ATRAID,0.778573129,3
ZNF618,0.778602081,3
ATF7IP2,0.778693439,6
ACO1,0.779040618,11
NUP210L,0.779313642,17
PHC3,0.779420539,6
A2M,0.779518379,9
BDP1,0.779615447,25
KNG1,0.779627763,4
MRPS27,0.779638127,4
SMCR7,0.779638436,8
ANO5,0.779757286,10
ABCA10,0.779925703,10
C17orf70,0.779992273,9
DBNDD2,0.780021657,2
ATP9B,0.780065386,16
PIF1,0.780196967,11
C3orf67,0.780344473,6
C12orf39,0.780410159,3
MARVELD3,0.780436838,5
ING5,0.78063909,3
C9orf64,0.780644635,5
DMWD,0.780826981,2
KIAA0232,0.780836619,10
GPR125,0.780850138,13
PPHLN1,0.780983642,5
ZNF215,0.781022814,12
DNAJC7,0.781071795,2
SALL2,0.781093484,3
CEP128,0.781142065,15
DENND1C,0.781150348,10
ABCA9-AS1,0.781161874,2
XAF1,0.781241276,3
PSAPL1,0.781294702,10
NOD2,0.781397619,14
CD244,0.781403376,7
PLSCR4,0.781443022,6
LMX1A,0.781491139,4
ZNF324,0.781554983,4
SLC2A8,0.781680855,8
CUEDC2,0.781753429,2
FBXO41,0.781758254,6
FAM194B,0.781965871,5
FSBP,0.781983547,4
MAT1A,0.78218832,2
HPGD,0.782295367,2
WDR17,0.782377269,16
CD3G,0.782623279,2
RPL28,0.782710556,4
SRSF5,0.782852965,2
LAIR2,0.782869979,2
REST,0.782892446,3
DNAJB5,0.782930197,2
C9orf114,0.782978186,5
AMPD1,0.783011097,7
MSR1,0.783146365,6
PLCXD3,0.78319478,3
SAFB2,0.783226668,3
TDRD9,0.783313129,5
CD300LB,0.783421901,3
SUCLG2,0.783600787,5
FAM115A,0.783604767,2
OR6K3,0.783711285,4
RPS6KC1,0.783741151,8
GSTK1,0.783754795,5
ICK,0.783895893,2
SLITRK1,0.783900894,2
ANKRD42,0.783954714,4
CELF2,0.784027629,2
ABHD15,0.784160108,2
NIPA2,0.784265695,2
LAMP1,0.78446416,4
PRLHR,0.78459368,2
POLE3,0.784609003,2
SERPINA6,0.784677768,5
PREB,0.784803424,4
PLIN5,0.785108186,5
PLAA,0.785248662,6
ZNF564,0.785259418,3
AFAP1,0.785366807,15
DBF4,0.785394052,3
ADCY1,0.785398975,3
IBSP,0.785435698,3
ZAN,0.785468499,27
KLHL3,0.785518217,2
ADAMTS18,0.785557558,21
AZU1,0.785561846,2
TOR1AIP2,0.785912282,2
NR2C2AP,0.785972469,3
FEZ2,0.786023239,3
IQCK,0.786083785,3
CBLC,0.786164394,3
POLD1,0.786290757,14
KLF15,0.786300925,4
ERCC5,0.786355451,18
HCFC2,0.786358609,4
CCDC96,0.786443904,2
TADA2B,0.786443904,2
BEND5,0.786454769,2
WWC1,0.786469834,10
TRPV3,0.786544391,10
ASB2,0.786559158,11
SNPH,0.78662972,4
DMRTB1,0.786791164,2
POLB,0.786818474,2
CENPN,0.78685968,6
APPL2,0.786869677,8
DOK4,0.78687195,4
CPEB3,0.786878922,2
IPO8,0.787107515,6
OR13G1,0.78725361,5
ATG9B,0.787305478,11
ZNF169,0.787457443,7
AKR1C4,0.787620228,3
TMEM87B,0.787706699,5
CHD4,0.788041026,5
COL10A1,0.788067342,9
PRRT2,0.788137248,3
C1orf111,0.788166111,3
MBD6,0.788278314,6
ADCY5,0.788289611,10
TGM5,0.788292747,12
TAS2R19,0.788344808,4
HYI,0.788370965,4
BIK,0.788400993,3
FASTKD2,0.788482792,4
RNASE6,0.788545823,2
UNC5CL,0.788595444,2
TSPAN18,0.78865539,3
ZNF462,0.788676326,19
SUN2,0.78877549,17
CTSE,0.788896098,10
C11orf48,0.788901243,5
USP39,0.788908974,2
ESRRG,0.788912775,3
ZDHHC5,0.788957419,8
ZNF599,0.788980749,5
SCNN1D,0.789127206,16
IL7,0.789154933,5
OR52E8,0.789183352,2
ACADM,0.789398773,3
TWF2,0.789597942,3
ANKMY1,0.789776685,13
TTC26,0.789801964,3
ALOXE3,0.789813423,11
FEM1B,0.789915302,3
SLITRK5,0.78991728,5
FASTKD3,0.789922312,5
HRASLS2,0.78994106,2
DEFB118,0.790197561,3
NUDT2,0.790338709,2
CDK10,0.790382749,7
RTCA,0.790457157,4
YAE1D1,0.790470151,5
GPNMB,0.790492242,9
TDRD12,0.790509378,2
OR13A1,0.790637763,6
NGEF,0.790713962,2
DHX32,0.790882087,9
SLC18A3,0.791158308,6
SSH3,0.791187085,9
OR2W5,0.791248283,6
DHTKD1,0.791328039,7
PAK7,0.791352147,4
SNAP47,0.79138052,12
PPP2R2C,0.791382966,3
NOL3,0.791383931,3
ZNF266,0.791390934,4
LDB1,0.791396545,3
PNPLA3,0.791472575,7
RNF20,0.79165156,8
CTRC,0.791761023,4
GPR135,0.791782282,2
WISP2,0.791944361,2
CAB39L,0.791990597,5
ACAN,0.792025098,32
KRTAP19-8,0.79237232,2
COX5A,0.792510082,2
SHISA3,0.792530275,3
ENAH,0.792660545,3
DCAKD,0.792833568,3
ZNF132,0.792891418,8
ARID4A,0.792937505,5
PPIE,0.793156532,4
TMC5,0.793188562,15
CALM2,0.793219972,5
SEZ6,0.793229242,8
BAG4,0.79326697,3
RBM11,0.79329549,3
MFSD11,0.7933101,5
DMRT1,0.793327672,2
C14orf93,0.793381807,4
DEK,0.793441624,2
SH3RF3,0.79349365,7
GPR115,0.79351544,14
CRLF3,0.793585251,2
SPTLC1,0.79377914,3
BTAF1,0.793779499,5
ABHD16B,0.793872388,6
STIM1,0.793922464,6
SPAG17,0.79406566,16
STRN3,0.794256012,6
TMEM209,0.794280415,4
AKAP13,0.794324114,39
HTR1D,0.794335488,5
MET,0.794337953,9
OSBPL7,0.794410422,5
PAK6,0.794569239,8
PRMT3,0.79459357,6
PCED1A,0.794594775,4
NGF,0.794861361,2
SPAG4,0.794978063,7
NOTCH3,0.795028476,15
PTK7,0.795165108,6
ZGLP1,0.795224487,2
PTF1A,0.795272706,3
DOK7,0.795292596,13
EHD1,0.795297825,3
LUC7L2,0.79536975,2
SLC35F2,0.795426121,4
ZNF669,0.795629436,2
LPP,0.79567774,16
PLA2G4D,0.795844559,13
ZNF25,0.795963768,2
C4orf6,0.796029964,5
SYT9,0.796037189,2
FAM110B,0.796145456,3
ACD,0.796157785,6
SYCP1,0.796179253,4
KCNH2,0.796554956,4
SCGB1D2,0.796565787,4
TENC1,0.796580262,18
SLC5A5,0.796703184,4
PLK3,0.796711263,3
KCNJ13,0.796895323,2
HHATL,0.79698896,8
ALS2,0.796989913,11
USP37,0.797014788,6
NDEL1,0.797104796,7
OR51F2,0.797147004,6
SVOPL,0.797387253,7
PATL1,0.797403048,4
TM4SF18,0.797453462,3
PHLPP2,0.797477539,12
MX2,0.797511814,10
EHD3,0.797518419,4
OR52N1,0.797584491,3
TMEM223,0.798154244,6
FAM221B,0.798217886,3
LIPG,0.798267396,7
PTAFR,0.798284354,4
POU2F3,0.798289327,6
CDC42BPA,0.798310472,9
TTC7A,0.798398225,15
ZNF782,0.798467966,5
ESPN,0.798499037,4
THEMIS2,0.798565214,8
CHRM5,0.798595499,7
FBXL7,0.798718788,3
NFAM1,0.798922298,4
TBXAS1,0.798922744,18
CNTF,0.798930765,4
ZFP91-CNTF,0.798930765,4
MOBP,0.799295196,3
PDE8B,0.799310562,3
COL4A3BP,0.799356213,3
SCRN2,0.799378184,7
CRYBB1,0.799393136,3
APPBP2,0.799396,3
SLAIN1,0.799487709,3
OR10J5,0.799653942,3
A4GNT,0.799815753,2
TRIM7,0.800086561,8
SPN,0.800091819,5
DEFB115,0.800247457,2
OR8K5,0.800252092,5
OR11H4,0.800265567,5
RGS7,0.800364036,2
LIPA,0.800426909,25
CD164L2,0.800452218,2
BCL6B,0.800521704,2
MTA2,0.800682416,3
MRPL27,0.800763218,3
DALRD3,0.800844241,3
CCNL2,0.800972486,3
DUSP16,0.801056993,4
PPP2R2D,0.801181914,5
ZNF474,0.801223582,9
SAP130,0.801359475,3
FAM86C1,0.801376722,2
FAM53B,0.80147159,2
FAM71F1,0.801486946,6
PTAR1,0.801495788,5
FAM179B,0.801764872,6
PEX16,0.801786867,3
WDR37,0.801795048,2
HPS6,0.801860348,5
TSR3,0.801860684,3
EARS2,0.802048334,7
CLEC4M,0.802144317,4
GNPTG,0.802255659,2
ANO2,0.802389186,21
TMPRSS9,0.802397718,15
ZCCHC9,0.802470164,2
ABCG4,0.802603123,5
MED19,0.802652591,2
OTOA,0.802712877,2
ATPBD4,0.802731262,3
IQCF3,0.802809344,3
NOP9,0.802963906,15
IL23R,0.803144845,3
WSCD1,0.803346658,11
NCSTN,0.803513275,4
LPAR2,0.803562249,2
PRICKLE4,0.803577493,5
IFT43,0.803589247,8
ACSL6,0.803784387,5
CTR9,0.803931328,5
GTPBP8,0.803997802,10
NDNL2,0.804202161,2
TLR4,0.804291478,11
DTNBP1,0.80444474,4
GHR,0.804505432,9
CIITA,0.804514635,22
TRIM56,0.804552616,7
DPCD,0.804701946,8
NUP50,0.804940704,2
GADL1,0.805093003,7
ANXA11,0.805253068,7
SLA,0.805324624,6
ELMOD1,0.805493815,2
RYR2,0.805533449,32
NDUFB7,0.805655275,2
NCMAP,0.805859881,3
OR10A5,0.805879178,4
CSTL1,0.805893722,2
ZNF134,0.805954686,5
CFD,0.805985027,2
C10orf47,0.806064135,5
SPP2,0.806077171,2
TMEM201,0.806092363,4
NCKAP1,0.80624213,4
TEX261,0.806259904,2
OR51B2,0.806277058,6
ITGA7,0.806376638,19
NEUROG1,0.806430138,2
ZBTB16,0.806465843,2
STAR,0.806552968,2
TTLL3,0.806603984,20
RHOJ,0.806773535,4
TRABD,0.806876227,2
SEL1L3,0.806962708,10
FAM212B,0.807004749,4
RD3,0.80707394,3
HAPLN2,0.807199806,2
NODAL,0.807223939,2
ANKRD7,0.80725059,2
FGFR2,0.807413146,4
ALKBH3,0.807510864,3
AGAP1,0.80762501,8
CLECL1,0.80764048,3
FRMD1,0.80767788,12
C1orf101,0.807903115,6
SLC12A2,0.80798213,3
SGMS1,0.808049833,2
ALDH1A3,0.808244835,2
KIAA1211,0.80831543,9
BPIFB4,0.808322779,12
CAPN14,0.808324132,4
KLK2,0.808380424,4
CILP,0.808423513,17
KRT76,0.808478267,8
KIAA0355,0.808487473,9
FAM134B,0.808515383,3
NMUR2,0.808572746,4
FLRT2,0.808625119,4
TCN2,0.808763036,5
SH2D5,0.808970085,5
MTERFD2,0.809064208,3
HDC,0.80907262,6
WDR27,0.80927153,13
CHMP7,0.809305788,3
CDCA3,0.809333882,5
C10orf82,0.809372835,5
SLC22A20,0.809487806,3
CECR2,0.80955649,17
CDCP1,0.809562331,9
PRDM15,0.809579776,10
ZNF629,0.809644573,3
CPT2,0.809697548,8
GKN1,0.809707453,2
DENND4B,0.809883505,6
LMNB2,0.80989473,6
NYNRIN,0.809936795,17
LTBP1,0.810069816,12
ACTN2,0.810265815,10
CCDC112,0.810324539,3
R3HCC1L,0.810389001,10
DRGX,0.810523497,3
